"Close Date","Account Name","Lead Source Category","Opportunity Name","Fiscal Period","Opportunity Owner","Next Step","Type","Monthly Gross Profit","Age","Appraisal Start Date","Total Value","Referral Partner"
"10/8/2021","Broadtree Partners, LLC","Outbound","Broadtree Partners - Semify Diligence","Q4-2021","Pierre Le Veaux","","Private Equity","9300","0.0000000000","","9300.00",""
"10/11/2021","Bridge Diagnostics","Inbound","Bridge Diagnostics - Sales Collateral","Q4-2021","Mike Iaco","","CV Strategic","1953","0.0000000000","","1953.00",""
"10/11/2021","biom","Outbound","biom","Q4-2021","Kira Tirshfield","","Brand Strategy - New Business","12941","52.0000000000","","155292.00",""
"10/13/2021","Rancho La Gloria","Inbound","Rancho La Gloria","Q4-2021","Kira Tirshfield","","Brand Strategy - New Business","13671","9.0000000000","","164052.00",""
"10/13/2021","Togeth3r","Outbound","Togeth3r","Q4-2021","Kira Tirshfield","","Brand Strategy - New Business","22320","0.0000000000","","22320.00",""
"10/13/2021","Lalo Tequila","Channel Partner","Lalo Tequila","Q4-2021","Jake Mehani","","Commercial Velocity - New Business","10209","132.0000000000","","61254.00","Leslie Scofield"
"10/14/2021","VAT IT","Channel Partner","VAT IT","Q4-2021","Matt Levitt","Austin working on projections to send next week","Rapid Growth Brands - New Business","32597","42.0000000000","9/28/2021 11:33 AM","195584.00",""
"10/14/2021","Foretravel of Texas","Channel Partner","Foratravel","Q4-2021","Corey Eulas","","Strategic Accounts - New Business","8549","34.0000000000","","42745.00","Devin S Test Keller"
"10/15/2021","Catalina Crunch","Channel Partner","Catalina Crunch-","Q4-2021","Mike Iaco","","CV Strategic","4775","71.0000000000","9/20/2021 7:34 PM","57300.00","Devin S Test Keller"
"10/15/2021","MPL Brands","Inbound","MPL Brands","Q4-2021","Kira Tirshfield","","Commercial Velocity - New Business","10000","324.0000000000","","120000.00",""
"10/18/2021","DREW CHILD DEVELOPMENT CORPORATION","Inbound","Drew Child Development Corporati-","Q4-2021","Zac Kyle","","Commercial Velocity - New Business","100328","143.0000000000","","100327.50",""
"10/19/2021","A Dozen Cousins","Inbound","A Dozen Cousins-","Q4-2021","Sara Brooks","","Brand Strategy - New Business","21000","8.0000000000","","252000.00",""
"10/21/2021","For Bare Feet","Outbound","For Bare Feet-","Q4-2021","Ben Rogers","","Commercial Velocity - New Business","46917","3.0000000000","","46916.70",""
"10/22/2021","Goodles","Channel Partner","Goodles-","Q4-2021","Pat Kreidler","","Commercial Velocity - New Business","24417","50.0000000000","","293008.50","Lauren Rinkey"
"10/22/2021","Fond Bone Broth","Channel Partner","Fond Bone Broth - Paid Social, Creative, CRO","Q4-2021","Jake Mehani","","Commercial Velocity - New Business","12658","7.0000000000","","151890.00","Leslie Scofield"
"10/22/2021","Wolf & Shepherd","Channel Partner","Wolf & Shepherd-","Q4-2021","Ben Rogers","","Commercial Velocity - New Business","8945","25.0000000000","10/6/2021 8:18 PM","107342.00","Klaviyo - Stephanie Faria"
