"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"Recovery 2.0","Recovery 2.0","Q4-2021","","Commercial Velocity - New Business","10.00","1000","10.0000000000","","10/8/2021","Ben Rogers","Outbound"
"Elyse Walker","Elyse Walker-","Q4-2021","","Rapid Growth Brands - New Business","29.00","1000","29.0000000000","9/21/2021 8:13 AM","10/14/2021","Ben Rogers","Outbound"
"MaryRuth Organics","MaryRuth Organics-","Q4-2021","","Rapid Growth Brands - New Business","59.00","1000","59.0000000000","","10/1/2021","Ben Rogers","Outbound"
"SweetWater Brewing Company","Sweetwater Brewing Co-","Q4-2021","","Rapid Growth Brands - New Business","91.00","36542","91.0000000000","","10/1/2021","Ben Rogers","Outbound"
"ARTIFOX","ARTIFOX-","Q4-2021","","Rapid Growth Brands - New Business","181.00","7440","181.0000000000","9/10/2021 2:07 PM","10/28/2021","Ben Rogers","Outbound"
"Andjou Cosmetics","Andjou Cosmetics-","Q4-2021","","Commercial Velocity - New Business","42.00","1000","42.0000000000","","10/1/2021","Brittany Arnold","Inbound"
"Bumpin Blends","Bumpin Blends-","Q4-2021","","Commercial Velocity - New Business","43.00","1000","178.0000000000","","10/1/2021","Brittany Arnold","Inbound"
"Marah Natural","Marah Natural-","Q4-2021","","Commercial Velocity - New Business","44.00","1000","44.0000000000","","10/1/2021","Brittany Arnold","Inbound"
"Switch2Pure","Switch2Pure","Q4-2021","","Commercial Velocity - New Business","30.00","0","165.0000000000","","10/1/2021","Brittany Arnold","Outbound"
"Mitzi Lighting","Mitzi Lighting-","Q4-2021","","Commercial Velocity - New Business","11.00","1000","11.0000000000","","10/12/2021","Connor Sanner","Inbound"
"EverCommerce","Evercommerce (Restoration Local)","Q4-2021","","Strategic Accounts - New Business","24.00","47838","24.0000000000","","10/28/2021","Corey Eulas","Channel Partner"
"Foretravel of Texas","Foratravel","Q4-2021","","Strategic Accounts - New Business","34.00","8549","34.0000000000","","10/14/2021","Corey Eulas","Channel Partner"
"Bestow","Bestow","Q4-2021","","Strategic Accounts - New Business","11.00","8690","11.0000000000","","10/15/2021","Corey Eulas","Outbound"
"MadeHot","MadeHot-","Q4-2021","","Commercial Velocity - New Business","9.00","10000","9.0000000000","","10/20/2021","Hannah Underhill","Channel Partner"
"Fond Bone Broth","Fond Bone Broth - Paid Social, Creative, CRO","Q4-2021","","Rapid Growth Brands - New Business","7.00","12658","7.0000000000","","10/22/2021","Jake Mehani","Channel Partner"
"Nectar Bath Treats","Nectar Bath Treats","Q4-2021","","Rapid Growth Brands - New Business","11.00","13826","11.0000000000","9/27/2021 1:10 PM","10/1/2021","Jake Mehani","Channel Partner"
"Bask Sun Care","Bask Sun Care","Q4-2021","","Rapid Growth Brands - New Business","24.00","11000","24.0000000000","","10/4/2021","Jake Mehani","Channel Partner"
"Verde Farms LLC","Verde Farms","Q4-2021","","Rapid Growth Brands - New Business","89.00","1000","89.0000000000","","10/31/2021","Jake Mehani","Channel Partner"
