"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Stage","Lead Source","Annual Revenue","Industry","Contact: Title","Close Date","Opportunity Owner","Lead Source Category"
"fluffnest inc","fluffnest inc-","Q1-2021","","Commercial Velocity - New Business","14.00","9555","14.0000000000","","Closed Won","Clutch","","Home/Personal Products","","3/17/2021","Ben Rogers","Inbound"
"Tohfa Box","Tohfa Box-","Q1-2021","","Commercial Velocity - New Business","20.00","0","20.0000000000","","Disqualified","Website","","Home/Personal Products","","3/31/2021","Ben Rogers","Inbound"
"Pura Vida","Pura Vida Bracelets-","Q1-2021","","Commercial Velocity - New Business","30.00","11944","30.0000000000","","Closed Won","Website","50000000","Home/Personal Products","","3/19/2021","Ben Rogers","Inbound"
"Villamor","Villamor Rugs","Q1-2021","","Commercial Velocity - New Business","39.00","5000","39.0000000000","","Disqualified","Website","","Home/Personal Products","","3/30/2021","Ben Rogers","Inbound"
"Sparks Gallery","Sparks Gallery","Q1-2021","","Commercial Velocity - New Business","58.00","1000","58.0000000000","","Disqualified","Website","1000000","Home/Personal Products","Owner & Curator","3/31/2021","Ben Rogers","Inbound"
"HEX | Equip The Creators","Hex Brand","Q1-2021","","Commercial Velocity - New Business","23.00","7500","23.0000000000","","AE Nurture","SDR Outbound","6845000","Home/Personal Products","Vice President","3/18/2021","Ben Rogers","Outbound"
"My Girl Wellness","My Girl Wellness-","Q1-2021","","Commercial Velocity - New Business","27.00","3000","27.0000000000","","Disqualified","Outbound","","Beauty","Founder","3/31/2021","Ben Rogers","Outbound"
"ZBiotics","ZBiotics","Q1-2021","","Commercial Velocity - New Business","34.00","10000","34.0000000000","","AE Nurture","Outbound","1000000","Health/Wellness","","3/25/2021","Ben Rogers","Outbound"
"Yerbuzz - Hard Yerba Mate","Yerbuzz","Q1-2021","","Commercial Velocity - New Business","39.00","1000","39.0000000000","","AE Nurture","SDR Outbound","","Food/Beverage","","3/22/2021","Ben Rogers","Outbound"
"V.I.P","V.I.P-","Q1-2021","","Commercial Velocity - New Business","42.00","3000","42.0000000000","","Disqualified","Outbound","","Pet","","3/15/2021","Ben Rogers","Outbound"
"Nova Naturals","Nova Naturals-","Q1-2021","","Commercial Velocity - New Business","43.00","1000","43.0000000000","","Disqualified","Outbound","","Food/Beverage","Social Media Coordinator","3/31/2021","Ben Rogers","Outbound"
"Coastal Spritz","Coastal Spritz-","Q1-2021","","Commercial Velocity - New Business","43.00","7500","43.0000000000","","SDR Nurture","Outbound","","Food/Beverage","Founder","3/31/2021","Ben Rogers","Outbound"
"Motive Interactive","Motive","Q1-2021","","Commercial Velocity - New Business","45.00","5733","45.0000000000","","AE Nurture","Employee Referral","32236000","Management Consulting","","3/18/2021","Ben Rogers","Outbound"
"HBO Max","HBO Max","Q1-2021","","Commercial Velocity - New Business","49.00","28331","49.0000000000","","Closed Won","Employee Referral","","","","3/31/2021","Ben Rogers","Outbound"
"Enveed Hemp","Enveed Hemp","Q1-2021","","Commercial Velocity - New Business","53.00","10000","53.0000000000","","Closed Lost","Referral Partner","","CBD","","3/15/2021","Brittany Arnold","Channel Partner"
"Ownerly","Ownerly-","Q1-2021","","Commercial Velocity - New Business","63.00","1000","63.0000000000","","Disqualified","Referral Partner","","Home Services","GM","3/1/2021","Brittany Arnold","Channel Partner"
"Boomf","Boomf-","Q1-2021","","Commercial Velocity - New Business","76.00","49868","76.0000000000","","Closed Lost","Referral Partner","10000000","Home/Personal Products","","3/31/2021","Brittany Arnold","Channel Partner"
"Boho-Magic","Boho-Magic-","Q1-2021","","Commercial Velocity - New Business","13.00","6500","13.0000000000","","Closed Lost","Website","","Apparel","","3/4/2021","Brittany Arnold","Inbound"
"FemmyCycle","FemmyCycle-","Q1-2021","","Commercial Velocity - New Business","39.00","8500","39.0000000000","","Closed Lost","Website","","Health/Wellness","","3/18/2021","Brittany Arnold","Inbound"
"Oil Life","Oil Life-","Q1-2021","","Commercial Velocity - New Business","41.00","6500","41.0000000000","","Closed Lost","Website","","Health/Wellness","General Manager","3/15/2021","Brittany Arnold","Inbound"
"My Prolific Brands","My Prolific Brands-","Q1-2021","","Commercial Velocity - New Business","7.00","0","7.0000000000","","Closed Lost","Outbound","","Health/Wellness","","3/29/2021","Brittany Arnold","Outbound"
"DietCypher","DietCypher","Q1-2021","","Commercial Velocity - New Business","8.00","10000","8.0000000000","","Closed Lost","SDR Nurture","","","","3/26/2021","Brittany Arnold","Outbound"
"Rachele Ann Co.","Rachele Ann Co.-","Q1-2021","","Commercial Velocity - New Business","12.00","1000","12.0000000000","","Closed Lost","Outbound","","Beauty","","3/30/2021","Brittany Arnold","Outbound"
"Babe Lash","Babe Lash","Q1-2021","","Commercial Velocity - New Business","34.00","1000","34.0000000000","","Closed Lost","Outbound","","","","3/22/2021","Brittany Arnold","Outbound"
"Florence by Mills","Florence By Mills","Q1-2021","","Commercial Velocity - New Business","37.00","15000","37.0000000000","","Closed Lost","Outbound","","","","3/31/2021","Brittany Arnold","Outbound"
"Perfect Corp.","Perfect Corp.","Q1-2021","","Commercial Velocity - New Business","38.00","10000","38.0000000000","","Closed Lost","Outbound","50000000","Cosmetics","","3/26/2021","Brittany Arnold","Outbound"
"Opus One","Opus One-","Q1-2021","","Commercial Velocity - New Business","60.00","6000","60.0000000000","","Closed Lost","Outbound","","Food/Beverage","Direct Marketing Manager","3/15/2021","Brittany Arnold","Outbound"
"Octavio Tequila","Octavio Tequila-","Q1-2021","","Commercial Velocity - New Business","75.00","6500","75.0000000000","","Closed Lost","SDR Outbound","","Food/Beverage","","3/15/2021","Brittany Arnold","Outbound"
"Dream Designs","Dream Designs-","Q1-2021","","Commercial Velocity - New Business","87.00","10000","87.0000000000","","Disqualified","SDR Outbound","","Home Services","Owner/Creative Director","3/31/2021","Brittany Arnold","Outbound"
"Naturally Serious Skin","Naturally Serious Skin-","Q1-2021","","Commercial Velocity - New Business","103.00","5000","103.0000000000","","Closed Lost","Outbound","","Beauty","Executive Director of Digital","3/1/2021","Brittany Arnold","Outbound"
"Osmosis Beauty","Osmosis Beauty-","Q1-2021","","Commercial Velocity - New Business","126.00","10000","126.0000000000","","Closed Lost","Outbound","","Beauty","","3/31/2021","Brittany Arnold","Outbound"
"Violet Grey Inc","Violet Grey","Q1-2021","","Commercial Velocity - New Business","217.00","3500","217.0000000000","","Closed Won","Outbound","10000000","","","3/2/2021","Brittany Arnold","Outbound"
